month,geo_region_id,customers,customer_less_2,customer_greater_3,orders,orders_less_2,orders_greater_3,customers_m_1,customer_less_2_m_1,customer_greater_3_m_1,orders_m_1,orders_less_2_m_1,orders_greater_3_m_1,customers_m_2
2022-07-01,1,12144,10798,1346,19806.0,12671.0,7135.0,3488.0,2375.0,1113.0,10920.0,3055.0,7865.0,1947.0
2022-07-01,2,15756,13559,2197,27706.0,16253.0,11453.0,5218.0,3303.0,1915.0,17711.0,4373.0,13338.0,3173.0
2022-07-01,3,14660,12725,1935,26073.0,14925.0,11148.0,4890.0,3000.0,1890.0,19653.0,3925.0,15728.0,2909.0
2022-07-01,4,7584,6788,796,12026.0,7937.0,4089.0,2357.0,1684.0,673.0,6403.0,2180.0,4223.0,1291.0
2022-07-01,5,7681,6582,1099,14094.0,7851.0,6243.0,2813.0,1784.0,1029.0,10688.0,2310.0,8378.0,1601.0
2022-07-01,6,4814,4217,597,7784.0,5061.0,2723.0,1575.0,1063.0,512.0,4887.0,1386.0,3501.0,922.0
2022-07-01,7,978,901,77,1390.0,1034.0,356.0,193.0,147.0,46.0,437.0,186.0,251.0,117.0
2022-07-01,8,4197,3606,591,7299.0,4322.0,2977.0,1274.0,826.0,448.0,3825.0,1085.0,2740.0,695.0
2022-07-01,9,932,796,136,1555.0,956.0,599.0,292.0,198.0,94.0,839.0,258.0,581.0,125.0
2022-07-01,10,2421,2159,262,3717.0,2450.0,1267.0,494.0,333.0,161.0,1583.0,429.0,1154.0,269.0
2022-07-01,11,849,759,90,1315.0,890.0,425.0,255.0,172.0,83.0,670.0,229.0,441.0,148.0
2022-07-01,12,1366,1254,112,1885.0,1434.0,451.0,408.0,290.0,118.0,1050.0,367.0,683.0,161.0
2022-07-01,13,629,574,55,901.0,662.0,239.0,104.0,71.0,33.0,259.0,98.0,161.0,45.0
2022-07-01,14,498,453,45,709.0,520.0,189.0,72.0,55.0,17.0,157.0,64.0,93.0,24.0
2022-07-01,15,439,408,31,564.0,452.0,112.0,45.0,36.0,9.0,95.0,47.0,48.0,20.0
