leads,month,geo_region_id,attribution
29692,2021-06-01,1.0,New_Leads
27363,2021-06-01,2.0,New_Leads
31888,2021-06-01,3.0,New_Leads
20747,2021-06-01,4.0,New_Leads
11591,2021-06-01,5.0,New_Leads
4104,2021-06-01,6.0,New_Leads
896,2021-06-01,7.0,New_Leads
5316,2021-06-01,8.0,New_Leads
1369,2021-06-01,9.0,New_Leads
1242,2021-06-01,10.0,New_Leads
42,2021-06-01,11.0,New_Leads
20,2021-06-01,12.0,New_Leads
6,2021-06-01,13.0,New_Leads
14,2021-06-01,14.0,New_Leads
10,2021-06-01,15.0,New_Leads
5149,2021-06-01,20.0,New_Leads
33657,2021-07-01,1.0,New_Leads
30274,2021-07-01,2.0,New_Leads
40317,2021-07-01,3.0,New_Leads
24989,2021-07-01,4.0,New_Leads
14980,2021-07-01,5.0,New_Leads
4408,2021-07-01,6.0,New_Leads
1838,2021-07-01,7.0,New_Leads
6477,2021-07-01,8.0,New_Leads
1868,2021-07-01,9.0,New_Leads
1515,2021-07-01,10.0,New_Leads
1452,2021-07-01,11.0,New_Leads
36,2021-07-01,12.0,New_Leads
27,2021-07-01,13.0,New_Leads
17,2021-07-01,14.0,New_Leads
13,2021-07-01,15.0,New_Leads
5874,2021-07-01,20.0,New_Leads
33747,2021-08-01,1.0,New_Leads
31552,2021-08-01,2.0,New_Leads
43816,2021-08-01,3.0,New_Leads
28295,2021-08-01,4.0,New_Leads
16817,2021-08-01,5.0,New_Leads
4441,2021-08-01,6.0,New_Leads
1998,2021-08-01,7.0,New_Leads
7121,2021-08-01,8.0,New_Leads
2264,2021-08-01,9.0,New_Leads
1694,2021-08-01,10.0,New_Leads
1588,2021-08-01,11.0,New_Leads
982,2021-08-01,12.0,New_Leads
27,2021-08-01,13.0,New_Leads
15,2021-08-01,14.0,New_Leads
14,2021-08-01,15.0,New_Leads
5292,2021-08-01,20.0,New_Leads
32963,2021-09-01,1.0,New_Leads
32004,2021-09-01,2.0,New_Leads
41456,2021-09-01,3.0,New_Leads
28485,2021-09-01,4.0,New_Leads
17753,2021-09-01,5.0,New_Leads
4926,2021-09-01,6.0,New_Leads
2309,2021-09-01,7.0,New_Leads
7089,2021-09-01,8.0,New_Leads
3022,2021-09-01,9.0,New_Leads
1947,2021-09-01,10.0,New_Leads
2123,2021-09-01,11.0,New_Leads
1726,2021-09-01,12.0,New_Leads
90,2021-09-01,13.0,New_Leads
26,2021-09-01,14.0,New_Leads
20,2021-09-01,15.0,New_Leads
6418,2021-09-01,20.0,New_Leads
36907,2021-10-01,1.0,New_Leads
38002,2021-10-01,2.0,New_Leads
44112,2021-10-01,3.0,New_Leads
29716,2021-10-01,4.0,New_Leads
18966,2021-10-01,5.0,New_Leads
7222,2021-10-01,6.0,New_Leads
3847,2021-10-01,7.0,New_Leads
8915,2021-10-01,8.0,New_Leads
4077,2021-10-01,9.0,New_Leads
2706,2021-10-01,10.0,New_Leads
2769,2021-10-01,11.0,New_Leads
2678,2021-10-01,12.0,New_Leads
1142,2021-10-01,13.0,New_Leads
55,2021-10-01,14.0,New_Leads
22,2021-10-01,15.0,New_Leads
9604,2021-10-01,20.0,New_Leads
32621,2021-11-01,1.0,New_Leads
35505,2021-11-01,2.0,New_Leads
42452,2021-11-01,3.0,New_Leads
30301,2021-11-01,4.0,New_Leads
16635,2021-11-01,5.0,New_Leads
5959,2021-11-01,6.0,New_Leads
3026,2021-11-01,7.0,New_Leads
8155,2021-11-01,8.0,New_Leads
3554,2021-11-01,9.0,New_Leads
2289,2021-11-01,10.0,New_Leads
2340,2021-11-01,11.0,New_Leads
2215,2021-11-01,12.0,New_Leads
1107,2021-11-01,13.0,New_Leads
569,2021-11-01,14.0,New_Leads
24,2021-11-01,15.0,New_Leads
6894,2021-11-01,20.0,New_Leads
36750,2021-12-01,1.0,New_Leads
37723,2021-12-01,2.0,New_Leads
43492,2021-12-01,3.0,New_Leads
34206,2021-12-01,4.0,New_Leads
19865,2021-12-01,5.0,New_Leads
8293,2021-12-01,6.0,New_Leads
3740,2021-12-01,7.0,New_Leads
10944,2021-12-01,8.0,New_Leads
4531,2021-12-01,9.0,New_Leads
3575,2021-12-01,10.0,New_Leads
3534,2021-12-01,11.0,New_Leads
2753,2021-12-01,12.0,New_Leads
1593,2021-12-01,13.0,New_Leads
1569,2021-12-01,14.0,New_Leads
631,2021-12-01,15.0,New_Leads
10333,2021-12-01,20.0,New_Leads
32222,2022-01-01,1.0,New_Leads
36305,2022-01-01,2.0,New_Leads
39848,2022-01-01,3.0,New_Leads
29278,2022-01-01,4.0,New_Leads
18889,2022-01-01,5.0,New_Leads
8507,2022-01-01,6.0,New_Leads
4265,2022-01-01,7.0,New_Leads
10954,2022-01-01,8.0,New_Leads
5563,2022-01-01,9.0,New_Leads
3974,2022-01-01,10.0,New_Leads
4632,2022-01-01,11.0,New_Leads
2989,2022-01-01,12.0,New_Leads
1911,2022-01-01,13.0,New_Leads
1683,2022-01-01,14.0,New_Leads
1714,2022-01-01,15.0,New_Leads
12871,2022-01-01,20.0,New_Leads
31583,2022-02-01,1.0,New_Leads
32871,2022-02-01,2.0,New_Leads
36870,2022-02-01,3.0,New_Leads
30938,2022-02-01,4.0,New_Leads
19414,2022-02-01,5.0,New_Leads
7451,2022-02-01,6.0,New_Leads
3918,2022-02-01,7.0,New_Leads
10162,2022-02-01,8.0,New_Leads
4228,2022-02-01,9.0,New_Leads
4034,2022-02-01,10.0,New_Leads
3773,2022-02-01,11.0,New_Leads
2400,2022-02-01,12.0,New_Leads
1347,2022-02-01,13.0,New_Leads
1323,2022-02-01,14.0,New_Leads
1233,2022-02-01,15.0,New_Leads
7875,2022-02-01,20.0,New_Leads
36389,2022-03-01,1.0,New_Leads
38957,2022-03-01,2.0,New_Leads
44350,2022-03-01,3.0,New_Leads
35833,2022-03-01,4.0,New_Leads
22694,2022-03-01,5.0,New_Leads
7743,2022-03-01,6.0,New_Leads
4206,2022-03-01,7.0,New_Leads
13141,2022-03-01,8.0,New_Leads
4074,2022-03-01,9.0,New_Leads
4702,2022-03-01,10.0,New_Leads
3384,2022-03-01,11.0,New_Leads
2579,2022-03-01,12.0,New_Leads
1215,2022-03-01,13.0,New_Leads
1385,2022-03-01,14.0,New_Leads
1316,2022-03-01,15.0,New_Leads
6443,2022-03-01,20.0,New_Leads
40861,2022-04-01,1.0,New_Leads
46373,2022-04-01,2.0,New_Leads
45277,2022-04-01,3.0,New_Leads
37761,2022-04-01,4.0,New_Leads
23676,2022-04-01,5.0,New_Leads
8056,2022-04-01,6.0,New_Leads
4805,2022-04-01,7.0,New_Leads
14991,2022-04-01,8.0,New_Leads
3877,2022-04-01,9.0,New_Leads
4374,2022-04-01,10.0,New_Leads
3106,2022-04-01,11.0,New_Leads
1094,2022-04-01,12.0,New_Leads
795,2022-04-01,13.0,New_Leads
1229,2022-04-01,14.0,New_Leads
578,2022-04-01,15.0,New_Leads
8214,2022-04-01,20.0,New_Leads
44113,2022-05-01,1.0,New_Leads
44552,2022-05-01,2.0,New_Leads
54190,2022-05-01,3.0,New_Leads
41755,2022-05-01,4.0,New_Leads
24873,2022-05-01,5.0,New_Leads
9045,2022-05-01,6.0,New_Leads
5415,2022-05-01,7.0,New_Leads
17457,2022-05-01,8.0,New_Leads
4376,2022-05-01,9.0,New_Leads
4767,2022-05-01,10.0,New_Leads
3710,2022-05-01,11.0,New_Leads
1089,2022-05-01,12.0,New_Leads
789,2022-05-01,13.0,New_Leads
1224,2022-05-01,14.0,New_Leads
576,2022-05-01,15.0,New_Leads
9921,2022-05-01,20.0,New_Leads
58386,2022-06-01,1.0,New_Leads
69185,2022-06-01,2.0,New_Leads
69366,2022-06-01,3.0,New_Leads
48406,2022-06-01,4.0,New_Leads
27340,2022-06-01,5.0,New_Leads
8543,2022-06-01,6.0,New_Leads
4742,2022-06-01,7.0,New_Leads
16459,2022-06-01,8.0,New_Leads
4648,2022-06-01,9.0,New_Leads
4212,2022-06-01,10.0,New_Leads
4269,2022-06-01,11.0,New_Leads
3467,2022-06-01,12.0,New_Leads
2058,2022-06-01,13.0,New_Leads
1575,2022-06-01,14.0,New_Leads
1666,2022-06-01,15.0,New_Leads
7932,2022-06-01,20.0,New_Leads
91019,2022-07-01,1.0,New_Leads
118100,2022-07-01,2.0,New_Leads
99055,2022-07-01,3.0,New_Leads
53299,2022-07-01,4.0,New_Leads
24165,2022-07-01,5.0,New_Leads
9180,2022-07-01,6.0,New_Leads
4783,2022-07-01,7.0,New_Leads
17419,2022-07-01,8.0,New_Leads
5061,2022-07-01,9.0,New_Leads
3997,2022-07-01,10.0,New_Leads
4940,2022-07-01,11.0,New_Leads
3126,2022-07-01,12.0,New_Leads
2098,2022-07-01,13.0,New_Leads
1623,2022-07-01,14.0,New_Leads
2046,2022-07-01,15.0,New_Leads
72,2022-07-01,16.0,New_Leads
9547,2022-07-01,20.0,New_Leads
139449,2021-06-01,0.0,New_Leads
167742,2021-07-01,0.0,New_Leads
179663,2021-08-01,0.0,New_Leads
182357,2021-09-01,0.0,New_Leads
210740,2021-10-01,0.0,New_Leads
193646,2021-11-01,0.0,New_Leads
223532,2021-12-01,0.0,New_Leads
215605,2022-01-01,0.0,New_Leads
199420,2022-02-01,0.0,New_Leads
228411,2022-03-01,0.0,New_Leads
245067,2022-04-01,0.0,New_Leads
267852,2022-05-01,0.0,New_Leads
332254,2022-06-01,0.0,New_Leads
449530,2022-07-01,0.0,New_Leads
